Source,Target,Label
ClimateAd,ClimateHuman,mentioned
awscloud,awscloud,quoted
theNASciences,MichaelEMann,mentioned
theNASciences,PNASNews,mentioned
FFFinBD,NayokaMartinez,mentioned
mwheatland,algore,mentioned
mwheatland,BillGates,mentioned
mwheatland,elonmusk,mentioned
HUAWEI_TECH4ALL,KenHu_Huawei,mentioned
UNESCO,UNESCO,mentioned
ArtofLiving,SriSri,mentioned
Sci_Ani,EarthDay,mentioned
lizbonnin,BBCOne,mentioned
EarthDay,VegFund,mentioned
IUCN,IUCN_forests,mentioned
sujithreddy05,MPsantoshtrs,mentioned
Wangchuk66,DalaiLama,mentioned
Wangchuk66,Dialogue4F,mentioned
UNESCO,UNESCO,mentioned
mindingottawa,environmentca,mentioned
mindingottawa,s_guilbeault,mentioned
IakobaSir,BennyWenda,mentioned
LeosAnimalPlan1,JustinTrudeau,mentioned
LeosAnimalPlan1,HSIGlobal,mentioned
LeosAnimalPlan1,HarpSealsDotOrg,mentioned
ProfMarkMaslin,IPCC_CH,mentioned
GovInslee,TODAYshow,quoted
GovInslee,EviationAero,mentioned
AnnaKernahan,Fridays4future,mentioned
AnnaKernahan,GretaThunberg,mentioned
carayeates,Chase,mentioned
carayeates,Aspiration,mentioned
ReefDeFi,CleanMiamiBeach,mentioned
WMO,NOAA,mentioned
CraigAWelch,NatGeo,mentioned
BeeAsMarine,JordanMulinzi,mentioned
BeeAsMarine,GeraldKutney,mentioned
BeeAsMarine,ZAGrrl,mentioned
VPolshettiwar,xprize,mentioned
VPolshettiwar,elonmusk,mentioned
VPolshettiwar,TIFRScience,mentioned
VPolshettiwar,anil_kakodkar,mentioned
VPolshettiwar,DAEIndia,mentioned
unibirmingham,theAliceRoberts,mentioned
unibirmingham,Forum_4GC,mentioned
50by40,IPCC_CH,mentioned
gzlrq_,MrMatthewTodd,quoted
Marwamohabe1,benogeh,mentioned
intel,intel,mentioned
BrentToderian,ClimateHuman,quoted
UNFCCC,hyphen_labs,mentioned
UNFCCC,googlearts,mentioned
_GlobalCrisis_,DrJeffMasters,mentioned
JanJekielek,akheriaty,mentioned
shiv_teaching,metoffice,mentioned
theGEF,theGEF,mentioned
SuryaIshaYoga1,SadhguruJV,mentioned
SuryaIshaYoga1,4per1000,mentioned
WMO,NOAA,mentioned
cpsavesoil,SadhguruJV,mentioned
cpsavesoil,4per1000,mentioned
HarunanySumaiya,Fridays4future,mentioned
HarunanySumaiya,FFFMAPA,mentioned
NOAA,NOAAResearch,mentioned
IPCC_CH,WHO,quoted
IPCC_CH,WHO,mentioned
DanielTurnerPTF,thehill,quoted
RonniSalt,LaTrioli,quoted
ReefDeFi,phillipg00,mentioned
ReefDeFi,CleanMiamiBeach,mentioned
ZurichAdvocacy,zfoundation,mentioned
ZurichAdvocacy,RCitiesNetwork,mentioned
ZurichAdvocacy,naic,mentioned
MahindraRise,anishshah21,mentioned
anttilip,CopernicusECMWF,mentioned
UNBiodiversity,NOAA,mentioned
BrentToderian,IPCC_CH,mentioned
hadrianmk,IPCC_CH,mentioned
sacredbalance,NewsHour,quoted
Renuks,AUThackeray,mentioned
CrowtherLab,WSL_research,mentioned
CrowtherLab,ETH_en,mentioned
CrowtherLab,Y_Vitasse,mentioned
CrowtherLab,ConstiZo,mentioned
CrowtherLab,TWCrowther,mentioned
CAugustenborg,IPCC_CH,mentioned
CAugustenborg,TonightVMTV,mentioned
IPCC_CH,DianaUrge,mentioned
IPCC_CH,IPCC_CH,mentioned
EUClimateAction,IPCC_CH,mentioned
SophieBoehm,IPCC_CH,mentioned
SophieBoehm,tarynfransen,mentioned
SophieBoehm,WRIkhausker,mentioned
SophieBoehm,schumerclea,mentioned
SophieBoehm,WRIClimate,mentioned
DrJakeW,IPCC_CH,mentioned
IPCC_CH,UNEP,mentioned
IPCC_CH,andersen_inger,mentioned
UNBiodiversity,IPCC_CH,mentioned
UNBiodiversity,UN,mentioned
UNBiodiversity,antonioguterres,mentioned
IPBES,IPCC_CH,mentioned
IMariashikongo,GeorgeMonbiot,mentioned
IMariashikongo,GretaThunberg,mentioned
s_guilbeault,NatObserver,mentioned
DanielTurnerPTF,DNC,mentioned
DiedrahKelly,AUThackeray,mentioned
DarshanGajra,nasdaily,mentioned
UNEP,UNEP,mentioned
UNEP,theGEF,mentioned
GayathrikumarIs,cpsavesoil,mentioned
Weather_West,ScienceAdvances,mentioned
Weather_West,danielletouma,mentioned
Weather_West,slgstevenson,mentioned
Weather_West,Weather_West,mentioned
Weather_West,ClimateChirper,mentioned
Weather_West,wx_statman,mentioned
Weather_West,xingyhuang,mentioned
penottawa,cathmckenna,mentioned
penottawa,ClimateHome,mentioned
scientia_social,OhioState,mentioned
scientia_social,OSUEnvironment,mentioned
awscloud,BisTanus,mentioned
awscloud,nature_org,mentioned
awscloud,CityPlants,mentioned
UNinIndia,UNDP_India,mentioned
UNinIndia,PARInetwork,mentioned
Senator_Patrick,CSIRO,mentioned
Senator_Patrick,ScottMorrisonMP,mentioned
CeloOrg,CeloOrg,mentioned
CeloOrg,weareflowcarbon,mentioned
Wangchuk66,AAI_Official,mentioned
Wangchuk66,EngineersIND,mentioned
Wangchuk66,india_greentree,mentioned
Wangchuk66,narendramodi,mentioned
Wangchuk66,PMOIndia,mentioned
