Unnamed: 0,user_id,user_name,user_description,tweet_id,content,quotedTweet_id,mentionedUsers,#quote,#retweet,#reply,#like
163,1312895255633567744,ClimateAd,Producing and promoting content to spur climate action. Because we need a billion climate activists.,1517626438865858562,"“What can I do about #climatechange?” 

Here’s @ClimateHuman’s answer. #ScientistRebellion #EarthDay https://t.co/kiNKJa5hHa",0,"[User(username='ClimateHuman', id=881615056437297152, displayname='Peter Kalmus', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",5,101,10,240
504,66780587,awscloud,"Amazon Web Services (#AWS). For support, please visit @AWSSupport.",1517595603882188805,"Make every day #EarthDay. ☁️🌎🌱 

At #AWS, we help our customers meaningfully reduce carbon emissions by demonstrating how intelligent systems can help build more sustainable infrastructure. 💡 #ClimateChange https://t.co/0U0mbYiVTt",1513959746881077249,,4,68,27,361
520,21308602,cartoonnetwork,The official Twitter account for Cartoon Network.,1517594704875040769,"Trees do so much for our Earth home, see how YOU can ReDraw Your World to help them! 🌎🌲🌳🌱💖☀️ More Climate Champions Challenges coming this summer!

#CartoonNetwork #ClimateChampions #ReDrawYourWorld #EarthDay #EarthDay2022 #ClimateChange #trees #arborday https://t.co/wwgW0Fq3bE",0,,1,58,3,201
580,21308602,cartoonnetwork,The official Twitter account for Cartoon Network.,1517591177624752130,"Our trees are so magical! 🌎🌲🌳🌱💖☀️ Stay tuned for more Climate Champions videos this month!

#CartoonNetwork #ClimateChampions #ReDrawYourWorld #EarthDay #EarthDay2022 #ClimateChange #trees #arborday https://t.co/Pk0yLmVvmx",0,,2,47,8,230
1024,66780587,awscloud,"Amazon Web Services (#AWS). For support, please visit @AWSSupport.",1517565721932410880,"Celebrating #EarthDay means celebrating successes like these. ☁️🌎💚️

See how four innovative companies use the cloud to fight #ClimateChange in the #AWS original docu-series “Climate Next.” ➡️ https://t.co/NOM6FTEIQT https://t.co/HNKFuENaCw",0,,4,60,8,535
1047,2293415520,theNASciences,"Society of distinguished scientists. Provides independent, objective advice to the U.S. on science & tech. Meetings, symposia, & @PNASNews. Pres @marcia4science",1517564449506443264,"Nearly 23 years after his landmark article containing the “hockey stick graph"" of rising average annual temperature of the Northern Hemisphere, @MichaelEMann reflects on his career as an atmosphere scientist studying #climatechange in @PNASNews: https://t.co/kh8Wpuw1c0 https://t.co/lTvNUrB1lU",0,"[User(username='MichaelEMann', id=384923143, displayname='Prof Michael E. Mann', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PNASNews', id=258847118, displayname='PNASNews', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",22,38,66,81
1192,723082700991676416,76Shadabkhan,Pro-cricketer: ODI/T20I VC for @TheRealPCB. Captain of @isbunited. Bowling googlies for a living. queries @insignia_sports. #PakistanZindabad,1517558431514828801,"This Ramzan lets take a pledge to help our planet in our own little capacity. Lets use plastic as little as possible, lets try to preserve our environment and make our planet a safer and better place for our future generations. #ClimateChange #responsibility",0,,9,201,55,3662
1309,1170216594414243840,FFFinBD,"National Fridays For Future Twitter | Grassroots movement |

#FridaysForFuture #FightClimateInjustice",1517551817592553472,"Remember that women and girls are hit the hardest by the effects of #climatechange but they are also central to achieving #climatejustice!
#EarthDay #InvestInOurPlanet #FridaysForFuture @NayokaMartinez https://t.co/Mkka94PV5H",0,"[User(username='NayokaMartinez', id=3000978330, displayname='Nayoka Martinez Bäckström', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,77,5,240
2375,900669223122472960,AndersonAfDMdEP,fachpolitische Sprecherin der ID-Fraktion im #EUParlament für Frauenrechte sowie Kultur und Bildung als Koordinatorin in den Ausschüssen FEMM & CULT,1517517833231470592,🇬🇧|The #EU and the German government are tinkering with a #Bitcoin ban. #Sweden first called for it because of #climatechange concerns. Cryptocurrencies stand for #freedom. What those named want to entrench is extensive dependency.  #ID https://t.co/aCS696imQh,0,,9,61,14,150
2622,19168238,mwheatland,An internationally chartered engineer🏗️ turned business manager who is passionate about sustainability ♻ and clean energy🔋. He/Him. DOB 340ppm CO2,1517508879210278913,"It's #EarthDay today, and it's worth taking the time to think about how you can invest in our planet, Act Boldly, Innovate Broadly and Implement Equitably.
Happy Earth day 2022.
#ClimateCrisis #GlobalWarming #climatechange @algore @BillGates @elonmusk #sustainability https://t.co/3jtD1KeDxp",0,"[User(username='algore', id=17220934, displayname='Al Gore', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BillGates', id=50393960, displayname='Bill Gates', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='elonmusk', id=44196397, displayname='Elon Musk', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,61,12,215
