Source,Target
1312895255633567744,881615056437297152
2293415520,384923143
2293415520,258847118
1170216594414243840,3000978330
19168238,17220934
19168238,50393960
19168238,44196397
1176824898729250816,810574701223235584
20646711,20646711
408254056,61126132
741200766451523584,23369246
421274906,871686942
23369246,32985433
23638544,138360455
1371881558278172674,807049065200500737
122706519,20609518
122706519,1488137362676793344
20646711,20646711
811192656,102448827
811192656,276713213
1495635512308432896,137043879
1369998441531727879,14260960
1369998441531727879,43928023
1369998441531727879,3085819114
2881236430,192942213
1077214808,890275940550537217
1180555549672460289,1053768884732547072
1180555549672460289,1006419421244678144
18219480,274673392
18219480,1562404537
1294974404233965570,978140330
113062227,14342564
109944769,17471979
1160263164078022656,1424821374628114435
1160263164078022656,904408999
1160263164078022656,16900850
2956724790,15919988
2956724790,44196397
2956724790,921311810669522945
2956724790,1239736451467632640
2956724790,824111291577040896
17865542,260211154
17865542,1417844797591728133
1161326804759531520,192942213
1134894192180809729,761374525
2803191,2803191
17463923,732420078290018304
17463923,248965136
1429514676648480781,180919104
15719232,54322957
759490818755457024,19282280
39085195,39085195
1081646772852805632,67611162
1081646772852805632,1135594969866100737
113062227,14342564
1467080747479666691,67611162
1467080747479666691,1135594969866100737
1207312264161832960,1053768884732547072
1207312264161832960,1317125122042388485
14342564,373373336
192942213,14499829
1294974404233965570,1276350918
1294974404233965570,978140330
2480072786,991610077936316416
2480072786,1201633579324841985
2480072786,70416028
307826219,359696537
716576919328841728,3346529644
40001204,14342564
480196886,192942213
357270132,192942213
41133588,1606048885
898297024784859136,3402941374
898297024784859136,204279080
898297024784859136,196342198
898297024784859136,974190958911934465
898297024784859136,1703978058
528389751,192942213
528389751,1204418652
192942213,1066901215261409280
192942213,192942213
856148305,192942213
575510575,192942213
575510575,45323882
575510575,3030788479
575510575,818332236
575510575,202313343
147050008,192942213
192942213,38146999
192942213,2409488466
40001204,192942213
40001204,14159148
40001204,811229675758505984
140137815,192942213
1381982526881865728,198584761
1381982526881865728,1006419421244678144
276713213,17410863
958192618940252160,722793491059769344
1059390344591159296,1606048885
1505466403205251074,238746075
38146999,38146999
38146999,39085195
799456814299512832,1467080747479666691
2187906247,2326120952
2187906247,18125005
2187906247,2805687654
2187906247,2187906247
2187906247,752849510443970560
2187906247,1225077221586432000
2187906247,1285305090442575872
271074952,140252240
271074952,43092107
4227187828,18846918
4227187828,26303584
66780587,1314284868885377024
66780587,17596622
66780587,919737506
1856588299,1088422554
1856588299,2558252576
926019424154349568,174083824
926019424154349568,34116377
1009135067153616896,1009135067153616896
1009135067153616896,1450174922542784521
122706519,877832878830137345
122706519,2287677342
122706519,754197014724739072
122706519,18839785
122706519,471741741
1195025771368239106,17463923
1195025771368239106,192942213
2923724679,811229675758505984
2923724679,14159148
300442541,4970411
113062227,1219222929743007744
39002335,263906814
39002335,25235151
39002335,556661091
708130060738306049,1967889907
1215382042772307968,580097412
1215382042772307968,629560435
1215382042772307968,728344273620344832
1207312264161832960,1053768884732547072
1207312264161832960,1006419421244678144
1207312264161832960,1134059457191776257
960363376399474688,161822962
165391600,70939654
1483150590846844931,384923143
192942213,192942213
1215382042772307968,580097412
1215382042772307968,629560435
1215382042772307968,728344273620344832
408254056,61126132
17463923,214842351
961299362,84750011
40001204,19649135
113062227,816592081200279552
752854610981847040,1318992773517893633
780668933116309504,739331942433226756
1467080747479666691,67611162
20606005,47285504
20606005,17870903
17137628,156001328
66780587,17596622
66780587,919737506
38146999,20596281
976995099170062338,20659868
976995099170062338,16596200
299273962,1349149096909668363
299273962,939091
711760467383877632,49923337
711760467383877632,75246346
1175946629804740608,16596200
1175946629804740608,20659868
113062227,916735110
1195025771368239106,156001328
23638544,926049255755788288
1198972367290191872,229045433
1429514676648480781,4493282356
1429514676648480781,28381177
1429514676648480781,1447138928570421256
113062227,344395626
113062227,3346529644
913288098632658949,1006419421244678144
40955185,92113269
510846846,3110958489
140137815,140137815
926309671773683712,1006419421244678144
926309671773683712,1134059457191776257
926309671773683712,1019974187975430144
926309671773683712,1087723402226487297
926309671773683712,800285348261556224
926309671773683712,1096766566279073792
1308706229913559041,894829056679706624
17026589,1354898820400877571
17026589,1407803571421200397
926309671773683712,1006419421244678144
926309671773683712,1134059457191776257
926309671773683712,1087723402226487297
926309671773683712,800285348261556224
926309671773683712,1096766566279073792
926309671773683712,1019974187975430144
17137628,39822897
192942213,14159148
103155170,1000369692278738944
37877812,2775374745
53293606,305328519
53293606,2768501
1160263164078022656,716576919328841728
135187648,869909089
1306520493575622657,23128315
4719757718,44196397
716576919328841728,3346529644
20646711,192942213
171429034,2543109397
171429034,103770785
958192618940252160,949934436
958192618940252160,16581604
958192618940252160,138203134
958192618940252160,29442313
2911144905,19386622
2911144905,279788564
21436960,192942213
1329800117344497665,1392933480
16379018,28657533
591459541,192942213
1160263164078022656,192942213
1160263164078022656,192942213
959285621490515969,67611162
959285621490515969,19190337
2942361600,192942213
2942361600,14615871
277431177,837693559
2769994652,837693559
2769994652,277431177
1043069201534119937,192942213
123231225,15507433
123231225,212167191
40001204,192942213
74447139,192942213
192942213,732945986742521856
1219176308720181248,192942213
214842351,192942213
192942213,14159148
192942213,811229675758505984
140137815,192942213
144993330,192942213
202313343,192942213
1195025771368239106,192942213
73760208,192942213
73760208,1365460075
39085195,39085195
39085195,20596281
1391108581718691841,325512390
295693924,67611162
958192618940252160,15007149
39002335,34116377
192942213,192942213
14342564,192942213
14342564,373373336
1461716693437214722,1214456673605165056
140137815,13201312
958192618940252160,939091
958192618940252160,15007149
958192618940252160,17220934
192942213,38146999
192942213,104485530
3295574960,733536861902114816
926309671773683712,1006419421244678144
561887188,19066345
958192618940252160,1349170292564905988
958192618940252160,939091
127483019,714996735
127483019,192199152
796061761606651905,612473
171429034,66837674
171429034,859363899291742210
171429034,750202178338422784
171429034,2543109397
2657755585,1037633133523423232
