Source,Target
66780587,66780587
1077214808,7744592
1226299611872022528,32950484
480196886,881615056437297152
192942213,14499829
958192618940252160,1917731
2615581908,40068395
20820771,14437914
960363376399474688,1110280824
1270133776748855304,1493350342158921736
976995099170062338,1175946629804740608
299273962,807095
299273962,15464697
510846846,4269393803
1270133776748855304,701725963
17026589,1407803571421200397
146123790,420100653
291580123,52334569
1709275855,1709275855
1270133776748855304,15088481
796061761606651905,895948501288407040
958192618940252160,227837742
73327118,67611162
219081096,1435518902977523716
1077214808,79728388
378790200,218629000
1463176934,2990627655
2769994652,1051881386355949570
2187906247,816592081200279552
3300453568,5402612
825920479055671296,4135644558
1731554581,14159148
2187906247,260478229
189868631,14499829
