,Unnamed: 0,user_id,content,class_with,class_without,sentiment,user_name
0,0,1312895255633567744,“what can i do about ” here’s answer scientistrebellion earthday of the most dangerous climate tipping points on the horizon threatens to turn the lush amazon rainforest into a dry savanna it would be an incalculable irreversible loss help others understand by sharing this video amazon,3,2,Negative,ClimateAd
1,1,66780587,make every day earthday cloud globe_showing_Americas seedling at aws we help our customers meaningfully reduce carbon emissions by demonstrating how intelligent systems can help build more sustainable infrastructure light_bulb earthday means celebrating successes like these cloud globe_showing_Americas green_heart see how four innovative companies use the cloud to fight in the aws original docuseries “climate next” right_arrow is our best ally in resolving climate change” — tnc’s sun deciduous_tree see how works with to help balance tree cover inequality using data in the season finale of climate next eyes television aws communities have less tree cover and are °c hotter than highincome areas sun hot_face palm_tree amp is helping la achieve its goal by using data to increase tree cover in underserved communities cloud seedling sunglasses backhand_index_pointing_right link aws fuels have powered the world since the industrial revolution factory to combat built smart grid tech for an allrenewable energy system with solar wind hydro amp energy storage recycling_symbol light_bulb see our climate next series octopus aws in landfills more opportunity to heal the planet recycling_symbol globe_showing_Americas cloud climatenext highlights how santa fe teamed with rubicon to build a cloudbased solution to transform their waste management—and move toward sustainability movie_camera aws,3,0,Positive,awscloud
2,2,21308602,trees do so much for our earth home see how you can redraw your world to help them globe_showing_Americas evergreen_tree deciduous_tree seedling sparkling_heart sun more climate champions challenges coming this summer cartoonnetwork climatechampions redrawyourworld earthday earthday trees arborday trees are so magical globe_showing_Americas evergreen_tree deciduous_tree seedling sparkling_heart sun stay tuned for more climate champions videos this month cartoonnetwork climatechampions redrawyourworld earthday earthday trees arborday,3,0,Positive,cartoonnetwork
3,3,2293415520,nearly years after his landmark article containing the “hockey stick graph of rising average annual temperature of the northern hemisphere reflects on his career as an atmosphere scientist studying in,3,0,Negative,theNASciences
4,4,723082700991676416,this ramzan lets take a pledge to help our planet in our own little capacity lets use plastic as little as possible lets try to preserve our environment and make our planet a safer and better place for our future generations responsibility,3,0,Positive,76Shadabkhan
5,5,1170216594414243840,remember that women and girls are hit the hardest by the effects of but they are also central to achieving climatejustice earthday investinourplanet fridaysforfuture,3,2,Neutral,FFFinBD
6,6,900669223122472960,United_Kingdom the eu and the german government are tinkering with a bitcoin ban sweden first called for it because of concerns cryptocurrencies stand for freedom what those named want to entrench is extensive dependency id,3,2,Positive,AndersonAfDMdEP
7,7,19168238,its earthday today and its worth taking the time to think about how you can invest in our planet act boldly innovate broadly and implement equitably happy earth day climatecrisis globalwarming sustainability,3,0,Positive,mwheatland
8,8,20646711,you can replace your car you can replace your shirt you can replace your phone you cannot replace your planet high_voltage earthday reminder is real amp the time to restoreourearth is now this earthday a stark reminder that we face the existential threats of both amp biodiversity loss we need to implement real actions if we want a chance to save our planet read goodall’s interview in the worldheritage issue is international day for monuments amp sites dyk that world heritage forests evergreen_tree are vital to fighting yet our report shows that worldheritage forest sites are emitting more carbon than absorbing it right_arrow international day for monuments amp sites worldheritage sites are not only places to visit they are also climate change observatories that gather amp share info on climate practices learn how we protect monuments amp sites against is international day for monuments amp sites is a defining issue of our time amp among the greatest threats facing cultural amp natural heritage today on monumentsday read the latest worldheritage review for more are still too underrepresented in the fight against we must eliminate discrimination amp promote genderequality for a more sustainable future iwd island developing states which cover of the ocean are on the frontlines of amp biodiversity loss their cultures are a vital resource for resilience latest tracker has more on how cultural heritage is vital for climateaction avoid mounting loss of life biodiversity and infrastructure ambitious accelerated action is required to adapt to at the same time as making rapid deep cuts in greenhousegas emissions says the latest climatereport from marine sites are key in fighting while these sites represent less than of the world’s ocean their contribution to our oceans health is much bigger finds our new research heres why can replace your bike bicycle you can replace your shirt t-shirt you can even replace your phone mobile_phone but you cannot replace the planet globe_showing_Asia-Australia is real the time to take climateaction is now information,3,0,Positive,UNESCO
9,9,1191682125222858752,south africans suffer more than the global average from globalheating consequences like droughts amp floods yet on average only every th south african knows what is we call on media amp government to tell the truth and increase climateliteracy earthday is what looks like in one of south africa’s tourism hotspots sadly so far people lost their lives in these floods countless lost their homes and livelihoods all the while sa government wants to build more coal gas and oil energy climateactionnow,3,2,Positive,CtxRebellion
10,10,3171668783,there it is italy the first country to introduce energy rationing in response to ukraine just wait in a couple of months well be told how good this was for the environment amp then comes the talk of rationing energy to end,3,2,Positive,OffGuardian0
11,11,1176824898729250816,is one of the biggest threats facing humanity amp our home huawei rotating chairman explores how technology is fighting back for the planet techall technature earthday,3,2,Neutral,HUAWEI_TECH4ALL
12,12,408254056,our ancients have always honoured nature and respected the environment it is now more imperative than ever that we restoreourearth gurudev ravi shankar on earthday globe_showing_Americas we celebrate the one acre one millionaire project saveourplanet environment is a fantastic teacher and we quite simply copy nature we’ve revived the natural hydrological balance by creating ecorestoration cells which were the real catalyst that made the water flow in rivers worldwaterday groundwater unep,3,0,Positive,ArtofLiving
13,13,790078801,on earthday just gentle reminder that what happens at the poles affects us all weather climate ocean currents food amp what we do impacts the arctic amp antarctic oceanacidification biodiversity lossexploitation melting ozone depletion,3,1,Positive,griffiths_huw
14,14,17463923,is the defining challenge of our time if we are to globe_showing_Europe-Africa halve emissions by globe_showing_Europe-Africa reach the goals of the parisagreement globe_showing_Europe-Africa and create a healthier future we need every day to become earthday impacts worsen with every fraction of a degree of global heating more ambitious national climate plans are needed this year cop will our lives be affected by warming ice sheets in insidious rising explores the cascading effects of on planet and people heartbeatoftheearth droughts to floods and storms water is the primary medium through which people feel the consequences of investment in adaptation is needed now to prepare for these impacts worldwaterday droplet firstever middle east and north africa regional climate week gets underway in dubai next week un climate change executive secretary explains why this conference is crucial to ramp up climateaction in menaclimateweek is putting intense pressure on already scarce water resources in the mena region but solutions exist menaclimateweek affects everyone but it doesnt do so equally internationalwomensday iwd are becoming much larger more dangerous and more likely to occur as a result of and other human influence explore solutions to this critical issue in frontiers reportafrica is on the frontlines of the climatecrisis but its not on the front pages of the worlds newspapers cop,3,0,Positive,UNFCCC
15,15,978604706,earthday globe_showing_Europe-Africa copernicus opendata help monitor the consequences of on biodiversity dyk that airpollution makes it harder for pollinators honeybee to find plants sunflower red_question_mark down_arrow tropospheric concentration of no₂ for dec in northern italy as measured by sentinelp for awareness drought continues to grip chile Chile down_arrow snow cover in the villarrica volcano national park southern andes hit its lowest point in recent years during the southern hemisphere’s summer and is yet to recover sentinel European_Union satellite april for climateaction the arctic is changing rapidly as a consequence of one of the effects is the rapid loss of sea ice as the region continues to warm up copernicus opendata is key for arctic monitoring is causing the warming of the ocean in it has reached the highest temperatures ever recorded copernicusmarine indicators such as sealevel rise ocean heat content currents and sea surface temperature help to monitor ourocean oneoceansummit for euarctic the arctic region is warming three times faster than the rest of the planet copernicus opendata is a key resource to monitor the consequences of in the region film_projector sentinel European_Union satellite image of the lena delta siberia,3,0,Positive,CopernicusEU
16,16,19396413,thread its earthday we have five simple ways that you can celebrate earthday and take action against today backhand_index_pointing_down,3,2,Positive,WoodlandTrust
17,17,4119914644,what if on this international motherearthday herb we decided to talk less amp act more let’s unite to give back to our planet globe_showing_Europe-Africa amp use humanrights to fight reduce pollution amp halt biodiversity loss,3,2,Positive,mbachelet
